title,responsibilities,image_name
Jr. Developer,Test Data,designation.jpeg
Sr. Developer,Test Data,designation.jpeg
Jr. Designer,Test Data,designation.jpeg
Sr. Designer,Test Data,designation.jpeg
Manager,Test Data,designation.jpeg
Sr. Manager,Test Data,designation.jpeg
Jr. Test Analyst,Test Data,designation.jpeg
Sr. Test Analyst,Test Data,designation.jpeg
Quality Analyst,Test Data,designation.jpeg
Sr. Quality Analyst,Test Data,designation.jpeg
Business Analyst,Test Data,designation.jpeg
Solutions Architect,Test Data,designation.jpeg
Sr. Solutions Architect,Test Data,designation.jpeg
Principal Architect,Test Data,designation.jpeg
Chief Technology Officer,Test Data,designation.jpeg
Chief Executive Officer,Test Data,designation.jpeg
Chief Operations Officer,Test Data,designation.jpeg
System Admin,Test Data,designation.jpeg
Sr. System Admin,Test Data,designation.jpeg
