name,description,image_name
Engineering,Test Description,department.jpg
Human resource,Test Description,department.jpg
Finance,Test Description,department.jpg
Marketing & Sales,Test Description,department.jpg
Customer Service,Test Description,department.jpg
Operations,Test Description,department.jpg
R & D,Test Description,department.jpg
Quality Assurance,Test Description,department.jpg
Ruby on Rails,Test Description,department.jpg
.NET,Test Description,department.jpg
Android,Test Description,department.jpg
iOS,Test Description,department.jpg
PHP,Test Description,department.jpg
Creative Designing,Test Description,department.jpg
Project Management,Test Description,department.jpg
Systems & Infrastructure,Test Description,department.jpg
